date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:55:39	728/728	---M-Z	200	added ('OK')	application/javascript	etag:W/%22e61961d0d70be76f6800f289553af01a%22	https://static.parastorage.com/services/wix-thunderbolt/dist/windowMessageRegistrar.60e90c5f.chunk.min.js	C:/My%20Web%20Sites/jb/static.parastorage.com/services/wix-thunderbolt/dist/windowMessageRegistrar.60e90c5f.chunk.min.js	(from https://yangyuqing9527.wixsite.com/jobbrokeronline)
22:55:40	15006/15006	---M-Z	200	added ('OK')	application/javascript	etag:W/%22f655596c37132a7589a5efc3336c66da%22	https://static.parastorage.com/services/wix-thunderbolt/dist/platform.68d9ada1.chunk.min.js	C:/My%20Web%20Sites/jb/static.parastorage.com/services/wix-thunderbolt/dist/platform.68d9ada1.chunk.min.js	(from https://yangyuqing9527.wixsite.com/jobbrokeronline)
22:55:40	122768/122768	---M-Z	200	added ('OK')	application/javascript	etag:W/%221ac7fd5110843c7b89e371e9affc188f%22	https://static.parastorage.com/services/wix-thunderbolt/dist/vendors~vendor-react-dom.be7a0676.chunk.min.js	C:/My%20Web%20Sites/jb/static.parastorage.com/services/wix-thunderbolt/dist/vendors_vendor-react-dom.be7a0676.chunk.min.js	(from https://yangyuqing9527.wixsite.com/jobbrokeronline)
22:55:41	385/385	---M--	200	added ('OK')	application/javascript	etag:%224709915c1992a9c77b3fa3fba31459e9%22	https://static.parastorage.com/services/wix-thunderbolt/dist/vendor-react-dom.6e25e583.chunk.min.js	C:/My%20Web%20Sites/jb/static.parastorage.com/services/wix-thunderbolt/dist/vendor-react-dom.6e25e583.chunk.min.js	(from https://yangyuqing9527.wixsite.com/jobbrokeronline)
22:55:41	9969/9969	---M-Z	200	added ('OK')	application/javascript	etag:W/%2269058c409a71528fa4be8ab659d4cc24%22	https://static.parastorage.com/services/tag-manager-client/1.186.0/siteTags.bundle.min.js	C:/My%20Web%20Sites/jb/static.parastorage.com/services/tag-manager-client/1.186.0/siteTags.bundle.min.js	(from https://yangyuqing9527.wixsite.com/jobbrokeronline)
22:55:42	141210/141210	---M-Z	200	added ('OK')	application/javascript	etag:W/%22a0018e400a9cce97a2345625df46927d%22	https://static.parastorage.com/services/editor-elements/dist/thunderboltElements.1e33fcd2.bundle.min.js	C:/My%20Web%20Sites/jb/static.parastorage.com/services/editor-elements/dist/thunderboltElements.1e33fcd2.bundle.min.js	(from https://yangyuqing9527.wixsite.com/jobbrokeronline)
22:55:42	2935/2935	---M-Z	404	error ('Not%20Found')	text/html	date:Fri,%2030%20Oct%202020%2009:55:41%20GMT	https://yangyuqing9527.wixsite.com/	C:/My%20Web%20Sites/jb/yangyuqing9527.wixsite.com/index.html	(from https://yangyuqing9527.wixsite.com/jobbrokeronline)
22:55:42	23667/23667	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c313a688288284452c8bbf665064fee4%22	https://static.parastorage.com/services/wix-perf-measure/1.258.0/wix-perf-measure.bundle.min.js	C:/My%20Web%20Sites/jb/static.parastorage.com/services/wix-perf-measure/1.258.0/wix-perf-measure.bundle.min.js	(from https://yangyuqing9527.wixsite.com/jobbrokeronline)
22:55:42	939/939	---M-Z	200	added ('OK')	application/javascript	etag:W/%221b358153a51b556b0f27ce781de64cd2%22	https://static.parastorage.com/services/wix-thunderbolt/dist/activePopup.ff089c32.chunk.min.js	C:/My%20Web%20Sites/jb/static.parastorage.com/services/wix-thunderbolt/dist/activePopup.ff089c32.chunk.min.js	(from https://yangyuqing9527.wixsite.com/jobbrokeronline)
22:55:43	1018/1018	---M-Z	200	added ('OK')	application/javascript	etag:W/%223df69e31ed77fd8c63de5cf8a08995a2%22	https://static.parastorage.com/services/wix-thunderbolt/dist/dropdownMenu.20f9fe1f.chunk.min.js	C:/My%20Web%20Sites/jb/static.parastorage.com/services/wix-thunderbolt/dist/dropdownMenu.20f9fe1f.chunk.min.js	(from https://yangyuqing9527.wixsite.com/jobbrokeronline)
